prefix	lane_number	seq_id	sample_id	population	data_type
C001	lane2	1	C001	Lower_Hendrys_2019	pe
C002	lane2	1	C002	Lower_Hendrys_2019	pe
C003	lane2	1	C003	Lower_Hendrys_2019	pe
C004	lane2	1	C004	Lower_Hendrys_2019	pe
C005	lane2	1	C005	Lower_Hendrys_2019	pe
C006	lane2	1	C006	Lower_Hendrys_2019	pe
C007	lane2	1	C007	Lower_Hendrys_2019	pe
C008	lane2	1	C008	Lower_Hendrys_2019	pe
C009	lane2	1	C009	Lower_Hendrys_2019	pe
C010	lane2	1	C010	Lower_Hendrys_2019	pe
C011	lane2	1	C011	Lower_Hendrys_2019	pe
C012	lane2	1	C012	Lower_Hendrys_2019	pe
C013	lane2	1	C013	Lower_Hendrys_2019	pe
C014	lane2	1	C014	Lower_Hendrys_2019	pe
C015	lane2	1	C015	Lower_Hendrys_2019	pe
C016	lane2	1	C016	Lower_Hendrys_2019	pe
C017	lane2	1	C017	Lower_Hendrys_2019	pe
C018	lane2	1	C018	Lower_Hendrys_2019	pe
C019	lane2	1	C019	Lower_Hendrys_2019	pe
C020	lane2	1	C020	Lower_Hendrys_2019	pe
C021	lane2	1	C021	Lower_Hendrys_2019	pe
C022	lane2	1	C022	Lower_Hendrys_2019	pe
C023	lane2	1	C023	Lower_Hendrys_2019	pe
C024	lane2	1	C024	Lower_Hendrys_2019	pe
C025	lane2	1	C025	Lower_Hendrys_2019	pe
C026	lane2	1	C026	Lower_Hendrys_2019	pe
C027	lane2	1	C027	Lower_Hendrys_2019	pe
C028	lane2	1	C028	Lower_Hendrys_2019	pe
C029	lane2	1	C029	Lower_Hendrys_2019	pe
C030	lane2	1	C030	Lower_Hendrys_2019	pe
C031	lane2	1	C031	Lower_Hendrys_2019	pe
C032	lane2	1	C032	Lower_Hendrys_2019	pe
C033	lane2	1	C033	Lower_Hendrys_2019	pe
C034	lane3	1	C034	Lower_Hendrys_2019	pe
C035	lane3	1	C035	Lower_Hendrys_2019	pe
C036	lane3	1	C036	Lower_Hendrys_2019	pe
C037	lane3	1	C037	Lower_Hendrys_2019	pe
C046	lane3	1	C046	South_ForkBaker_20_21	pe
C047	lane3	1	C047	South_ForkBaker_20_21	pe
C048	lane3	1	C048	South_ForkBaker_20_21	pe
C049	lane3	1	C049	South_ForkBaker_20_21	pe
C050	lane3	1	C050	South_ForkBaker_20_21	pe
C051	lane3	1	C051	South_ForkBaker_20_21	pe
C052	lane3	1	C052	South_ForkBaker_20_21	pe
C053	lane3	1	C053	South_ForkBaker_20_21	pe
C054	lane3	1	C054	South_ForkBaker_20_21	pe
C055	lane3	1	C055	South_ForkBaker_20_21	pe
C056	lane3	1	C056	South_ForkBaker_20_21	pe
C057	lane3	1	C057	South_ForkBaker_20_21	pe
C058	lane3	1	C058	South_ForkBaker_20_21	pe
C059	lane3	1	C059	South_ForkBaker_20_21	pe
C060	lane3	1	C060	Strawberry_Creek_21/22	pe
C061	lane3	1	C061	Strawberry_Creek_21/22	pe
C062	lane3	1	C062	Strawberry_Creek_21/22	pe
C063	lane3	1	C063	Strawberry_Creek_21/22	pe
C064	lane3	1	C064	Strawberry_Creek_21/22	pe
C065	lane3	1	C065	Strawberry_Creek_21/22	pe
C066	lane3	1	C066	Strawberry_Creek_21/22	pe
C067	lane3	1	C067	Strawberry_Creek_21/22	pe
C068	lane3	1	C068	Strawberry_Creek_21/22	pe
C069	lane3	1	C069	Strawberry_Creek_21/22	pe
C070	lane3	1	C070	Strawberry_Creek_21/22	pe
C071	lane3	1	C071	Strawberry_Creek_21/22	pe
C072	lane3	1	C072	Strawberry_Creek_21/22	pe
C073	lane3	1	C073	Strawberry_Creek_21/22	pe
C074	lane3	1	C074	Strawberry_Creek_21/22	pe
C075	lane3	1	C075	Strawberry_Creek_21/22	pe
C076	lane3	1	C076	Strawberry_Creek_21/22	pe
C077	lane4	1	C077	Strawberry_Creek_21/22	pe
C078	lane4	1	C078	Strawberry_Creek_21/22	pe
C079	lane4	1	C079	Strawberry_Creek_21/22	pe
C080	lane4	1	C080	Strawberry_Creek_21/22	pe
C081	lane4	1	C081	Strawberry_Creek_21/22	pe
C082	lane4	1	C082	Strawberry_Creek_21/22	pe
C083	lane4	1	C083	Strawberry_Creek_21/22	pe
C084	lane4	1	C084	Strawberry_Creek_21/22	pe
C085	lane4	1	C085	Strawberry_Creek_21/22	pe
C086	lane4	1	C086	Strawberry_Creek_21/22	pe
C087	lane4	1	C087	Strawberry_Creek_21/22	pe
C088	lane4	1	C088	Strawberry_Creek_21/22	pe
C089	lane4	1	C089	Strawberry_Creek_21/22	pe
C093	lane4	1	C093	South_ForkBaker_20_21	pe
C094	lane4	1	C094	South_ForkBaker_20_21	pe
C095	lane4	1	C095	South_ForkBaker_20_21	pe
C096	lane4	1	C096	South_ForkBaker_20_21	pe
C097	lane4	1	C097	South_ForkBaker_20_21	pe
C098	lane4	1	C098	South_ForkBaker_20_21	pe
C099	lane4	1	C099	South_ForkBaker_20_21	pe
C100	lane4	1	C100	South_ForkBaker_20_21	pe
C101	lane4	1	C101	South_ForkBaker_20_21	pe
C102	lane4	1	C102	South_ForkBaker_20_21	pe
C103	lane4	1	C103	South_ForkBaker_20_21	pe
C104	lane4	1	C104	South_ForkBaker_20_21	pe
C105	lane4	1	C105	South_ForkBaker_20_21	pe
C106	lane4	1	C106	Lehman_Creek_2020	pe
C107	lane4	1	C107	Lehman_Creek_2020	pe
C108	lane4	1	C108	Lehman_Creek_2020	pe
C109	lane4	1	C109	Lehman_Creek_2020	pe
C110	lane4	1	C110	Lehman_Creek_2020	pe
C111	lane4	1	C111	Lehman_Creek_2020	pe
C112	lane4	1	C112	Lehman_Creek_2020	pe
C113	lane4	1	C113	Lehman_Creek_2020	pe
C114	lane4	1	C114	Lehman_Creek_2020	pe
C115	lane4	1	C115	Lehman_Creek_2020	pe
C116	lane4	1	C116	Lehman_Creek_2020	pe
C117	lane4	1	C117	Lehman_Creek_2020	pe
C118	lane4	1	C118	Lehman_Creek_2020	pe
C119	lane4	1	C119	Lehman_Creek_2020	pe
C120	lane4	1	C120	Lehman_Creek_2020	pe
C121	lane4	1	C121	Lehman_Creek_2020	pe
C122	lane4	1	C122	Lehman_Creek_2020	pe
C123	lane4	1	C123	Lehman_Creek_2020	pe
C124	lane4	1	C124	Lehman_Creek_2020	pe
C125	lane4	1	C125	Lehman_Creek_2020	pe
C126	lane4	1	C126	Lehman_Creek_2020	pe
C127	lane4	1	C127	Lehman_Creek_2020	pe
C128	lane4	1	C128	Lehman_Creek_2020	pe
C129	lane4	1	C129	Lehman_Creek_2020	pe
C130	lane4	1	C130	Lehman_Creek_2020	pe
C131	lane4	1	C131	Lehman_Creek_2020	pe
C132	lane4	1	C132	Hendrys_Creek_2020	pe
C133	lane4	1	C133	Hendrys_Creek_2020	pe
C134	lane4	1	C134	Hendrys_Creek_2020	pe
C135	lane4	1	C135	Hendrys_Creek_2020	pe
C136	lane4	1	C136	Hendrys_Creek_2020	pe
C137	lane4	1	C137	Hendrys_Creek_2020	pe
C138	lane4	1	C138	Hendrys_Creek_2020	pe
C139	lane4	1	C139	Pine_Ridge_2022	pe
C140	lane4	1	C140	Pine_Ridge_2022	pe
C141	lane4	1	C141	Pine_Ridge_2022	pe
C142	lane4	1	C142	Pine_Ridge_2022	pe
C143	lane4	1	C143	Pine_Ridge_2022	pe
C144	lane4	1	C144	Pine_Ridge_2022	pe
C145	lane4	1	C145	Pine_Ridge_2022	pe
C146	lane4	1	C146	Pine_Ridge_2022	pe
C147	lane4	1	C147	Pine_Ridge_2022	pe
C148	lane4	1	C148	Pine_Ridge_2022	pe
C150	lane4	1	C150	Pine_Ridge_2022	pe
C151	lane4	1	C151	Pine_Ridge_2022	pe
C152	lane4	1	C152	Pine_Ridge_2022	pe
C153	lane4	1	C153	Pine_Ridge_2022	pe
C154	lane3	1	C154	Ridge_Creek_2022	pe
C155	lane3	1	C155	Ridge_Creek_2022	pe
C156	lane3	1	C156	Ridge_Creek_2022	pe
C157	lane3	1	C157	Ridge_Creek_2022	pe
C158	lane3	1	C158	Ridge_Creek_2022	pe
C159	lane3	1	C159	Ridge_Creek_2022	pe
C160	lane3	1	C160	Ridge_Creek_2022	pe
C161	lane3	1	C161	Ridge_Creek_2022	pe
C162	lane3	1	C162	Ridge_Creek_2022	pe
C163	lane3	1	C163	Ridge_Creek_2022	pe
C164	lane3	1	C164	Ridge_Creek_2022	pe
C165	lane3	1	C165	Ridge_Creek_2022	pe
C166	lane3	1	C166	Ridge_Creek_2022	pe
C167	lane3	1	C167	Ridge_Creek_2022	pe
C168	lane3	1	C168	Ridge_Creek_2022	pe
C091	lane3	1	C091	Willard_Creek_2022	pe
C092	lane3	1	C092	Willard_Creek_2022	pe
C169	lane3	1	C169	South_BigWash_2022	pe
C170	lane3	1	C170	South_BigWash_2022	pe
C171	lane3	1	C171	South_BigWash_2022	pe
C172	lane3	1	C172	South_BigWash_2022	pe
C173	lane3	1	C173	South_BigWash_2022	pe
C174	lane3	1	C174	South_BigWash_2022	pe
C175	lane3	1	C175	South_BigWash_2022	pe
C176	lane3	1	C176	South_BigWash_2022	pe
C177	lane3	1	C177	South_BigWash_2022	pe
C178	lane3	1	C178	South_BigWash_2022	pe
C179	lane3	1	C179	South_BigWash_2022	pe
C180	lane3	1	C180	South_BigWash_2022	pe
C181	lane3	1	C181	South_BigWash_2022	pe
C182	lane3	1	C182	South_BigWash_2022	pe
C183	lane3	1	C183	South_BigWash_2022	pe
C184	lane4	1	C184	South_BigWash_2022	pe
C185	lane4	1	C185	South_BigWash_2022	pe
C301	lane3	1	C301	Mill_Creek_20_21	pe
C302	lane3	1	C302	Mill_Creek_20_21	pe
C303	lane3	1	C303	Mill_Creek_20_21	pe
C304	lane3	1	C304	Mill_Creek_20_21	pe
C305	lane3	1	C305	Mill_Creek_20_21	pe
C306	lane3	1	C306	Mill_Creek_20_21	pe
C307	lane3	1	C307	Mill_Creek_20_21	pe
C308	lane3	1	C308	Mill_Creek_20_21	pe
C309	lane3	1	C309	Mill_Creek_20_21	pe
C310	lane3	1	C310	Mill_Creek_20_21	pe
C311	lane3	1	C311	Mill_Creek_20_21	pe
C312	lane3	1	C312	Mill_Creek_20_21	pe
C313	lane3	1	C313	Mill_Creek_20_21	pe
C314	lane3	1	C314	Mill_Creek_20_21	pe
C315	lane3	1	C315	Mill_Creek_20_21	pe
C316	lane3	1	C316	Mill_Creek_20_21	pe
C317	lane3	1	C317	Mill_Creek_20_21	pe
C318	lane3	1	C318	Mill_Creek_20_21	pe
C319	lane3	1	C319	Willard_Creek_2022	pe
C320	lane3	1	C320	Willard_Creek_2022	pe
C321	lane3	1	C321	Willard_Creek_2022	pe
C322	lane3	1	C322	Willard_Creek_2022	pe
C323	lane3	1	C323	Willard_Creek_2022	pe
C324	lane3	1	C324	Willard_Creek_2022	pe
C325	lane3	1	C325	Willard_Creek_2022	pe
C326	lane3	1	C326	Willard_Creek_2022	pe
C327	lane3	1	C327	Willard_Creek_2022	pe
C328	lane3	1	C328	Willard_Creek_2022	pe
C329	lane3	1	C329	Willard_Creek_2022	pe
C330	lane3	1	C330	Willard_Creek_2022	pe
C331	lane3	1	C331	Willard_Creek_2022	pe
C332	lane3	1	C332	Willard_Creek_2022	pe
C333	lane3	1	C333	Willard_Creek_2022	pe
C334	lane3	1	C334	Willard_Creek_2022	pe
C335	lane3	1	C335	Willard_Creek_2022	pe
C336	lane3	1	C336	Willard_Creek_2022	pe
C337	lane3	1	C337	Willard_Creek_2022	pe
C338	lane3	1	C338	Willard_Creek_2022	pe
C339	lane3	1	C339	Willard_Creek_2022	pe
C340	lane3	1	C340	Willard_Creek_2022	pe
C341	lane3	1	C341	Willard_Creek_2022	pe
C342	lane3	1	C342	Willard_Creek_2022	pe
C343	lane3	1	C343	Willard_Creek_2022	pe
C344	lane3	1	C344	Willard_Creek_2022	pe
C345	lane3	1	C345	Willard_Creek_2022	pe
C346	lane3	1	C346	Willard_Creek_2022	pe
C347	lane3	1	C347	Willard_Creek_2022	pe
C348	lane3	1	C348	Deadman_Creek_2022	pe
C349	lane3	1	C349	Deadman_Creek_2022	pe
C350	lane3	1	C350	Deadman_Creek_2022	pe
C351	lane3	1	C351	Deadman_Creek_2022	pe
C352	lane3	1	C352	Deadman_Creek_2022	pe
C353	lane3	1	C353	Deadman_Creek_2022	pe
C354	lane3	1	C354	Deadman_Creek_2022	pe
C355	lane3	1	C355	Deadman_Creek_2022	pe
C356	lane3	1	C356	Deadman_Creek_2022	pe
C357	lane3	1	C357	Deadman_Creek_2022	pe
C358	lane3	1	C358	Deadman_Creek_2022	pe
C359	lane3	1	C359	Deadman_Creek_2022	pe
C360	lane3	1	C360	Deadman_Creek_2022	pe
C361	lane3	1	C361	Deadman_Creek_2022	pe
C362	lane3	1	C362	Deadman_Creek_2022	pe
C363	lane3	1	C363	Deadman_Creek_2022	pe
C364	lane3	1	C364	Deadman_Creek_2022	pe
C365	lane3	1	C365	Deadman_Creek_2022	pe
C366	lane3	1	C366	Deadman_Creek_2022	pe
C367	lane3	1	C367	Deadman_Creek_2022	pe
C368	lane3	1	C368	Deadman_Creek_2022	pe
C369	lane3	1	C369	Deadman_Creek_2022	pe
C370	lane3	1	C370	Deadman_Creek_2022	pe
C371	lane3	1	C371	Deadman_Creek_2022	pe
C372	lane3	1	C372	Deadman_Creek_2022	pe
C373	lane3	1	C373	Deadman_Creek_2022	pe
C374	lane3	1	C374	Deadman_Creek_2022	pe
C375	lane3	1	C375	Deadman_Creek_2022	pe
C376	lane3	1	C376	Deadman_Creek_2022	pe
C377	lane3	1	C377	Deadman_Creek_2022	pe
C378	lane3	1	C378	Deadman_Creek_2022	pe
C379	lane3	1	C379	Smith_Creek_2022	pe
C380	lane3	1	C380	Smith_Creek_2022	pe
C381	lane3	1	C381	Smith_Creek_2022	pe
C382	lane3	1	C382	Smith_Creek_2022	pe
C383	lane3	1	C383	Smith_Creek_2022	pe
C384	lane3	1	C384	Smith_Creek_2022	pe
C385	lane3	1	C385	Smith_Creek_2022	pe
C386	lane3	1	C386	Smith_Creek_2022	pe
C387	lane3	1	C387	Smith_Creek_2022	pe
C388	lane3	1	C388	Smith_Creek_2022	pe
C389	lane3	1	C389	Smith_Creek_2022	pe
C390	lane3	1	C390	Smith_Creek_2022	pe
C391	lane3	1	C391	Smith_Creek_2022	pe
C392	lane3	1	C392	Smith_Creek_2022	pe
C393	lane3	1	C393	Smith_Creek_2022	pe
C394	lane3	1	C394	Smith_Creek_2022	pe
C395	lane3	1	C395	Smith_Creek_2022	pe
C396	lane3	1	C396	Smith_Creek_2022	pe
C397	lane3	1	C397	Smith_Creek_2022	pe
C398	lane3	1	C398	Smith_Creek_2022	pe
C399	lane3	1	C399	Smith_Creek_2022	pe
C400	lane3	1	C400	Smith_Creek_2022	pe
C401	lane1	1	C401	Smith_Creek_2022	pe
C402	lane1	1	C402	Smith_Creek_2022	pe
C403	lane1	1	C403	Smith_Creek_2022	pe
C404	lane1	1	C404	Smith_Creek_2022	pe
C405	lane1	1	C405	Smith_Creek_2022	pe
C406	lane1	1	C406	Smith_Creek_2022	pe
C407	lane1	1	C407	Smith_Creek_2022	pe
C408	lane1	1	C408	Smith_Creek_2022	pe
C409	lane1	1	C409	Smith_Creek_2022	pe
C410	lane1	1	C410	Smith_Creek_2022	pe
C411	lane1	1	C411	Smith_Creek_2022	pe
C412	lane1	1	C412	Smith_Creek_2022	pe
C602	lane4 	1	C602	Deadman_Creek_2022	pe
C603	lane4 	1	C603	Deadman_Creek_2022	pe
C604	lane4 	1	C604	Deadman_Creek_2022	pe
C605	lane4 	1	C605	Deadman_Creek_2022	pe
C606	lane4 	1	C606	Deadman_Creek_2022	pe
C607	lane4 	1	C607	Deadman_Creek_2022	pe
C608	lane4 	1	C608	Deadman_Creek_2022	pe
C609	lane4 	1	C609	Deadman_Creek_2022	pe
C610	lane4 	1	C610	Deadman_Creek_2022	pe
C611	lane4 	1	C611	Deadman_Creek_2022	pe
C612	lane4 	1	C612	Deadman_Creek_2022	pe
C613	lane4 	1	C613	Deadman_Creek_2022	pe
C614	lane4 	1	C614	Deadman_Creek_2022	pe
C615	lane4 	1	C615	Deadman_Creek_2022	pe
C616	lane4 	1	C616	Deadman_Creek_2022	pe
C617	lane4 	1	C617	Deadman_Creek_2022	pe
C618	lane4 	1	C618	Deadman_Creek_2022	pe
C619	lane4 	1	C619	Deadman_Creek_2022	pe
C620	lane4 	1	C620	Deadman_Creek_2022	pe
C621	lane4 	1	C621	Deadman_Creek_2022	pe
C622	lane4 	1	C622	Deadman_Creek_2022	pe
C623	lane4 	1	C623	Deadman_Creek_2022	pe
C624	lane4 	1	C624	Deadman_Creek_2022	pe
C625	lane4 	1	C625	Deadman_Creek_2022	pe
C626	lane4 	1	C626	Deadman_Creek_2022	pe
C627	lane4 	1	C627	Deadman_Creek_2022	pe
C628	lane4 	1	C628	Deadman_Creek_2022	pe
C629	lane4 	1	C629	Deadman_Creek_2022	pe
C630	lane4 	1	C630	Deadman_Creek_2022	pe
C631	lane4 	1	C631	Deadman_Creek_2022	pe
C413	lane1	1	C413	South_BigWash_2022	pe
C414	lane1	1	C414	South_BigWash_2022	pe
C415	lane1	1	C415	South_BigWash_2022	pe
C416	lane1	1	C416	South_BigWash_2022	pe
C417	lane1	1	C417	South_BigWash_2022	pe
C418	lane1	1	C418	South_BigWash_2022	pe
C419	lane1	1	C419	South_BigWash_2022	pe
C420	lane1	1	C420	South_BigWash_2022	pe
C421	lane1	1	C421	South_BigWash_2022	pe
C422	lane1	1	C422	South_BigWash_2022	pe
C423	lane1	1	C423	South_BigWash_2022	pe
C424	lane1	1	C424	South_BigWash_2022	pe
C425	lane1	1	C425	South_BigWash_2022	pe
C426	lane1	1	C426	South_BigWash_2022	pe
C427	lane1	1	C427	South_BigWash_2022	pe
C428	lane1	1	C428	South_BigWash_2022	pe
C429	lane1	1	C429	South_BigWash_2022	pe
C430	lane1	1	C430	South_BigWash_2022	pe
C431	lane1	1	C431	South_BigWash_2022	pe
C432	lane1	1	C432	South_BigWash_2022	pe
C433	lane1	1	C433	South_BigWash_2022	pe
C434	lane1	1	C434	South_BigWash_2022	pe
C435	lane1	1	C435	South_BigWash_2022	pe
C436	lane1	1	C436	South_BigWash_2022	pe
C437	lane1	1	C437	South_BigWash_2022	pe
C438	lane1	1	C438	South_BigWash_2022	pe
C439	lane1	1	C439	South_BigWash_2022	pe
C440	lane1	1	C440	South_BigWash_2022	pe
C441	lane1	1	C441	South_BigWash_2022	pe
C442	lane1	1	C442	South_BigWash_2022	pe
C443	lane1	1	C443	South_BigWash_2022	pe
C444	lane1	1	C444	Big_Wash_2022	pe
C445	lane1	1	C445	Big_Wash_2022	pe
C446	lane1	1	C446	Big_Wash_2022	pe
C447	lane1	1	C447	Big_Wash_2022	pe
C448	lane1	1	C448	Big_Wash_2022	pe
C449	lane1	1	C449	Big_Wash_2022	pe
C450	lane1	1	C450	Big_Wash_2022	pe
C451	lane1	1	C451	Big_Wash_2022	pe
C452	lane1	1	C452	Big_Wash_2022	pe
C453	lane1	1	C453	Big_Wash_2022	pe
C454	lane1	1	C454	Big_Wash_2022	pe
C455	lane1	1	C455	Big_Wash_2022	pe
C456	lane1	1	C456	Big_Wash_2022	pe
C457	lane1	1	C457	Big_Wash_2022	pe
C458	lane1	1	C458	Silver_Creek_2022	pe
C459	lane1	1	C459	Silver_Creek_2022	pe
C474	lane1	1	C474	Silver_Creek_2022	pe
C475	lane1	1	C475	Silver_Creek_2022	pe
C476	lane1	1	C476	Silver_Creek_2022	pe
C477	lane1	1	C477	Silver_Creek_2022	pe
C478	lane1	1	C478	Silver_Creek_2022	pe
C479	lane1	1	C479	Silver_Creek_2022	pe
C480	lane1	1	C480	Silver_Creek_2022	pe
C481	lane1	1	C481	Silver_Creek_2022	pe
C482	lane1	1	C482	Silver_Creek_2022	pe
C483	lane1	1	C483	Silver_Creek_2022	pe
C484	lane1	1	C484	Silver_Creek_2022	pe
C485	lane1	1	C485	Silver_Creek_2022	pe
C486	lane1	1	C486	Silver_Creek_2022	pe
C487	lane1	1	C487	Silver_Creek_2022	pe
C488	lane1	1	C488	Silver_Creek_2022	pe
C489	lane1	1	C489	Silver_Creek_2022	pe
C490	lane1	1	C490	Silver_Creek_2022	pe
C491	lane1	1	C491	Snake_Creek_2022	pe
C492	lane1	1	C492	Snake_Creek_2022	pe
C493	lane1	1	C493	Snake_Creek_2022	pe
